Material,Alloy_Type,Density_g_cm3,Yield_Strength_MPa,Tensile_Strength_MPa,Hardness_HB,Corrosion_Resistance_0_10,Thermal_Conductivity_W_mK,Cost_Index_1_10,Melting_Point_C,Machinability,Primary_Application
Manganese Bronze C86300,Stainless Steel,8.8,572.0,793.0,233.2,7,22.66,3,1478.5,6,Cutting Tools
Manganese Bronze C86400,Copper Alloy,8.8,172.0,448.0,112.0,8,26.05,5,1044.0,8,Marine
Manganese Bronze C86500,Copper Alloy,8.8,193.0,490.0,122.5,8,24.57,5,1061.0,8,Marine
Manganese Bronze C86700,Copper Alloy,8.8,290.0,586.0,146.5,9,134.6,8,960.5,5,Springs
Manganese Bronze C86800,Copper Alloy,8.8,262.0,565.0,141.2,8,127.07,8,978.8,4,Springs
Silicon Brass C87200,Copper Alloy,8.8,172.0,379.0,94.8,8,27.24,5,1047.9,8,Marine
Silicon Bronze C87400,Copper Alloy,8.8,165.0,379.0,94.8,7,23.75,5,1062.0,8,Marine
Silicon Bronze C87500,Copper Alloy,8.8,207.0,462.0,115.5,8,25.4,5,1069.6,9,Marine
Silicon Bronze C87600,Copper Alloy,8.8,221.0,455.0,113.8,8,25.88,5,1038.3,8,Marine
Silicon Bronze C87800,Copper Alloy,8.8,345.0,586.0,146.5,8,123.23,7,959.6,5,Springs
Silicon Bronze C87900,Copper Alloy,8.8,241.0,483.0,120.8,8,25.21,5,1056.9,8,Marine
Tin Bronze C90200,Copper Alloy,8.8,110.0,262.0,65.5,8,27.93,5,1078.5,8,Marine
Tin Bronze C90300,Copper Alloy,8.8,145.0,310.0,77.5,8,26.42,5,1036.5,8,Marine
Tin Bronze C90500,Copper Alloy,8.8,152.0,310.0,77.5,8,26.57,4,1056.1,9,Marine
Tin Bronze C90700,Copper Alloy,8.8,152.0,303.0,75.8,8,27.72,5,1053.5,8,Marine
Tin Bronze C90900,Copper Alloy,8.8,138.0,276.0,69.0,8,27.99,5,1047.0,9,Marine
Tin Bronze C91000,Copper Alloy,8.8,172.0,221.0,55.2,8,27.2,5,1042.5,8,Marine
Tin Bronze C91100,Copper Alloy,8.8,172.0,241.0,60.2,8,26.88,5,1052.3,7,Marine
Tin Bronze C91300,Copper Alloy,8.8,207.0,241.0,60.2,7,26.62,5,1033.8,8,Marine
Tin Bronze C91600,Copper Alloy,8.8,152.0,303.0,75.8,8,28.27,5,1054.0,8,Marine
Tin Bronze C91700,Copper Alloy,8.8,152.0,303.0,75.8,8,25.15,6,1045.3,8,Marine
Leaded Tin Bronze C92200,Copper Alloy,8.8,138.0,276.0,69.0,9,24.8,5,1048.0,8,Marine
Leaded Tin Bronze C92300,Copper Alloy,8.8,138.0,276.0,69.0,8,24.9,5,1062.4,8,Marine
Leaded Tin Bronze C92500,Copper Alloy,8.8,138.0,303.0,75.8,8,26.24,6,1058.1,8,Marine
Leaded Tin Bronze C92600,Copper Alloy,8.8,138.0,303.0,75.8,8,26.68,6,1036.4,8,Marine
Leaded Tin Bronze C92700,Copper Alloy,8.8,145.0,290.0,72.5,8,25.97,5,1053.9,9,Marine
Leaded Tin Bronze C92800,Copper Alloy,8.8,207.0,276.0,69.0,7,24.83,5,1052.2,8,Marine
Leaded Tin Bronze C92900,Copper Alloy,8.8,179.0,324.0,81.0,8,24.3,6,1063.7,8,Marine
High Leaded Tin Bronze C93200,Copper Alloy,8.8,124.0,241.0,60.2,8,24.93,5,1073.9,8,Marine
High Leaded Tin Bronze C93400,Copper Alloy,8.8,110.0,221.0,55.2,9,23.31,5,1070.9,8,Marine
High Leaded Tin Bronze C93500,Copper Alloy,8.8,110.0,221.0,55.2,8,26.24,5,1073.7,8,Marine
High Leaded Tin Bronze C93700,Copper Alloy,8.8,124.0,241.0,60.2,9,24.62,5,1041.3,8,Marine
High Leaded Tin Bronze C93800,Copper Alloy,8.8,110.0,207.0,51.8,9,25.32,5,1016.5,8,Marine
High Leaded Tin Bronze C93900,Copper Alloy,8.8,152.0,221.0,55.2,9,24.96,5,1042.9,8,Marine
High Leaded Tin Bronze C94300,Stainless Steel,8.8,90.0,186.0,54.7,7,23.98,2,1499.8,8,General Purpose
High Leaded Tin Bronze C94400,Copper Alloy,8.8,110.0,221.0,55.2,8,26.59,5,1033.9,9,Marine
High Leaded Tin Bronze C94500,Copper Alloy,8.8,83.0,172.0,43.0,8,24.39,5,1043.3,8,Marine
Nickel-Tin Bronze C94700,Copper Alloy,8.8,159.0,345.0,86.2,8,25.73,4,1056.5,8,Marine
Nickel-Tin Bronze C94800,Copper Alloy,8.8,159.0,310.0,77.5,9,27.19,5,1072.5,8,Marine
Aluminum Bronze C95200,Aluminum,8.8,186.0,552.0,157.7,6,142.74,7,489.5,7,Aerospace
Aluminum Bronze C95300,Aluminum,8.8,186.0,517.0,147.7,5,124.23,6,649.0,7,Aircraft
Aluminum Bronze C95400,Aluminum,8.8,241.0,586.0,167.4,7,125.85,7,462.8,6,Aerospace Structures
Aluminum Bronze C95500,Aluminum,8.8,303.0,689.0,196.9,6,118.1,7,435.4,6,Aerospace Structures
Aluminum Bronze C95600,Aluminum,8.8,234.0,517.0,147.7,5,113.57,6,645.9,7,Aircraft
Aluminum Bronze C95700,Aluminum,8.8,310.0,655.0,187.1,6,113.17,7,496.9,6,Aerospace Structures
Aluminum Bronze C95800,Aluminum,8.8,262.0,655.0,187.1,5,111.87,7,446.5,7,Aerospace Structures
Copper-Nickel C96200,Copper Alloy,8.5,172.0,310.0,77.5,6,114.42,4,906.5,9,General Purpose
Copper-Nickel C96300,Stainless Steel,8.5,379.0,517.0,152.1,8,17.33,4,1446.5,6,General Purpose
Copper-Nickel C96400,Copper Alloy,8.5,255.0,469.0,117.2,7,122.7,5,922.9,9,General Purpose
Copper-Nickel C96600,Copper Alloy,8.5,483.0,758.0,189.5,8,116.55,8,974.1,5,Springs
Nickel Silver C97300,Carbon Steel,8.5,117.0,241.0,70.9,2,49.28,2,1546.2,7,General Purpose
Nickel Silver C97400,Carbon Steel,8.5,117.0,262.0,77.1,3,50.96,3,1494.5,7,General Purpose
Nickel Silver C97600,Carbon Steel,8.5,165.0,310.0,91.2,3,51.23,2,1515.7,7,General Purpose
Nickel Silver C97800,Carbon Steel,8.5,207.0,379.0,111.5,3,49.06,3,1515.7,7,General Purpose
Special Alloy C99300,Aluminum,8.5,379.0,655.0,187.1,6,115.48,7,454.3,6,Aerospace Structures
Special Alloy C99400,Aluminum,8.5,234.0,455.0,130.0,4,125.77,6,628.0,6,Aircraft
Special Alloy C99500,Aluminum,8.5,276.0,483.0,138.0,5,120.07,6,664.6,6,Aircraft
Special Alloy C99700,Aluminum,8.5,172.0,379.0,108.3,6,123.11,6,656.6,7,Aircraft
Special Alloy C99750,Aluminum,8.5,221.0,448.0,128.0,6,121.3,7,647.0,7,Aircraft
Copper Alloy C10100,Copper Alloy,8.93,69.0,221.0,55.2,8,27.07,5,1059.4,7,Marine
Copper Alloy C15000,Copper Alloy,8.93,41.0,200.0,50.0,8,27.76,5,1043.1,8,Marine
Copper Alloy C15500,Copper Alloy,8.93,124.0,276.0,69.0,8,27.28,5,1063.5,8,Marine
Copper Alloy C15715,Copper Alloy,8.93,303.0,359.0,89.8,8,25.79,4,1088.8,8,Marine
Copper Alloy C15720,Copper Alloy,8.93,372.0,441.0,110.2,8,26.19,5,1052.7,7,Marine
Copper Alloy C15760,Copper Alloy,8.93,448.0,483.0,120.8,8,26.46,5,1099.1,8,Marine
Copper Alloy C16200,Copper Alloy,8.93,48.0,241.0,60.2,8,27.95,5,1033.3,8,Marine
Copper Alloy C16500,Copper Alloy,8.93,97.0,276.0,69.0,8,27.58,6,1031.6,8,Marine
Copper Alloy C17000,Copper Alloy,8.93,221.0,483.0,120.8,7,28.86,5,1060.1,8,Marine
Copper Alloy C17300,Copper Alloy,8.93,172.0,469.0,117.2,8,25.55,6,1068.1,8,Marine
Copper Alloy C17500,Copper Alloy,8.93,172.0,310.0,77.5,8,24.59,5,1041.5,7,Marine
Copper Alloy C18200,Copper Alloy,8.93,97.0,234.0,58.5,8,23.08,5,1068.1,8,Marine
Copper Alloy C18900,Copper Alloy,8.93,62.0,262.0,65.5,8,25.93,6,1031.5,8,Marine
Copper Alloy C19000,Copper Alloy,8.93,138.0,262.0,65.5,8,25.79,5,1057.1,8,Marine
Copper Alloy C19100,Copper Alloy,8.93,69.0,248.0,62.0,8,26.35,5,1034.4,7,Marine
Copper Alloy C19200,Copper Alloy,8.93,76.0,255.0,63.8,8,24.83,5,1027.4,8,Marine
Copper Alloy C19400,Copper Alloy,8.93,165.0,310.0,77.5,8,26.56,5,1029.9,8,Marine
Copper Alloy C19500,Copper Alloy,8.93,448.0,552.0,138.0,7,121.44,8,945.4,5,Springs
Copper Alloy C21000,Copper Alloy,8.93,69.0,234.0,58.5,8,26.26,5,1054.9,8,Marine
Commercial bronze C22000,Aluminum,8.8,69.0,255.0,72.9,7,183.17,2,644.1,9,General Purpose
Red brass C23000,Copper Alloy,8.8,69.0,269.0,67.2,8,27.6,5,1045.6,7,Marine
Low brass C24000,Copper Alloy,8.8,83.0,290.0,72.5,8,26.77,5,1055.6,8,Marine
Cartridge brass C26000,Copper Alloy,8.8,76.0,303.0,75.8,8,26.51,5,1037.7,8,Marine
Yellow brass C26800,Copper Alloy,8.8,97.0,317.0,79.2,9,26.6,5,1046.2,8,Marine
Muntz metal C28000,Aluminum,8.8,145.0,372.0,106.3,5,118.97,6,639.4,7,Aircraft
Leaded commercial bronze C31400,Aluminum,8.8,83.0,255.0,72.9,7,173.22,2,673.6,9,General Purpose
Low-leaded brass C33000,Copper Alloy,8.8,103.0,324.0,81.0,8,26.18,5,1062.0,9,Marine
High-leaded brass C34200,Stainless Steel,8.8,117.0,338.0,99.4,8,26.32,2,1483.1,9,General Purpose
Medium-leaded brass C35000,Copper Alloy,8.8,90.0,310.0,77.5,8,25.11,4,1046.1,8,Marine
Leaded Muntz metal C36500 (As hot rolled),Aluminum,8.8,138.0,372.0,106.3,5,125.7,5,640.3,7,Aircraft
Architectural bronze C38500 (As extruded),Aluminum,8.8,138.0,414.0,118.3,5,119.74,7,650.3,7,Aircraft
Copper Alloy C40500,Copper Alloy,8.8,83.0,269.0,67.2,8,27.02,5,1041.9,8,Marine
Copper Alloy C40800,Copper Alloy,8.8,90.0,290.0,72.5,8,25.56,6,1021.1,8,Marine
Copper Alloy C41100,Copper Alloy,8.8,76.0,269.0,67.2,8,25.54,5,1038.8,9,Marine
Copper Alloy C41300,Copper Alloy,8.8,83.0,283.0,70.8,8,26.49,5,1052.2,8,Marine
Copper Alloy C41500,Copper Alloy,8.8,117.0,317.0,79.2,8,25.32,4,1062.3,8,Marine
Copper Alloy C42200,Copper Alloy,8.8,103.0,296.0,74.0,8,25.43,5,1086.8,8,Marine
Copper Alloy C42500,Copper Alloy,8.8,124.0,310.0,77.5,8,27.22,5,1040.9,7,Marine
Copper Alloy C43000,Stainless Steel,8.8,124.0,317.0,93.2,8,23.71,2,1483.0,8,General Purpose
Copper Alloy C43400,Copper Alloy,8.8,103.0,310.0,77.5,8,25.05,5,1062.6,7,Marine
Copper Alloy C43500,Copper Alloy,8.8,110.0,317.0,79.2,8,26.57,6,1023.1,8,Marine
Copper Alloy C44300,Stainless Steel,8.8,124.0,331.0,97.4,8,27.16,1,1488.3,8,General Purpose
Copper Alloy C46400,Copper Alloy,8.8,172.0,379.0,94.8,8,25.94,4,1068.9,8,Marine
Copper Alloy C48200,Copper Alloy,8.8,172.0,386.0,96.5,8,25.18,5,1046.9,8,Marine
Copper Alloy C48500,Copper Alloy,8.8,172.0,393.0,98.2,8,27.09,6,1039.9,8,Marine
Copper Alloy C50500,Copper Alloy,8.8,97.0,276.0,69.0,8,26.85,5,1059.8,8,Marine
Copper Alloy C51000,Copper Alloy,8.8,131.0,324.0,81.0,9,24.86,5,1041.4,8,Marine
Copper Alloy C51100,Copper Alloy,8.8,310.7,317.0,79.2,8,26.74,5,1050.7,8,Marine
Copper Alloy C52100,Copper Alloy,8.8,165.0,379.0,94.8,8,28.3,5,1027.4,8,Marine
Copper Alloy C52400,Copper Alloy,8.8,193.0,455.0,113.8,8,26.19,5,1048.5,8,Marine
Copper Alloy C54400,Copper Alloy,8.8,131.0,303.0,75.8,8,26.44,6,1037.5,8,Marine
Copper Alloy C60800,Copper Alloy,8.8,186.0,414.0,103.5,8,26.45,5,1035.5,8,Marine
Copper Alloy C61000,Copper Alloy,8.8,117.0,359.0,89.8,9,27.58,5,1058.1,9,Marine
Copper Alloy C61300,Copper Alloy,8.8,207.0,483.0,120.8,7,28.61,5,1040.1,8,Marine
Copper Alloy C61400,Copper Alloy,8.8,228.0,524.0,131.0,8,26.36,5,1052.8,8,Marine
Copper Alloy C61500,Copper Alloy,8.8,152.0,483.0,120.8,8,25.56,5,1037.7,8,Marine
Copper Alloy C61800,Copper Alloy,8.8,269.0,552.0,138.0,8,130.92,8,950.0,5,Springs
Copper Alloy C61900,Copper Alloy,8.8,338.0,634.0,158.5,8,127.73,8,938.1,5,Springs
Copper Alloy C62300,Copper Alloy,8.8,241.0,517.0,129.2,8,26.35,5,1051.3,8,Marine
Copper Alloy C62400,Copper Alloy,8.8,276.0,621.0,155.2,7,124.99,8,956.8,5,Springs
Copper Alloy C62500 (As extruded),Copper Alloy,8.8,379.0,689.0,172.2,8,112.11,8,939.3,5,Springs
Copper Alloy C63000,Stainless Steel,8.8,345.0,621.0,182.6,7,24.32,2,1516.3,5,Cutting Tools
Copper Alloy C63200,Copper Alloy,8.8,310.0,621.0,155.2,8,116.23,8,943.3,5,Springs
Copper Alloy C63800,Copper Alloy,8.8,372.0,565.0,141.2,7,128.05,8,961.2,5,Springs
Copper Alloy C64200,Stainless Steel,8.8,241.0,517.0,152.1,8,17.34,4,1455.7,6,General Purpose
Copper Alloy C65100,Copper Alloy,8.8,103.0,276.0,69.0,7,25.42,5,1052.4,9,Marine
Copper Alloy C65500,Copper Alloy,8.8,145.0,386.0,96.5,8,25.49,5,1015.7,8,Marine
Copper Alloy C66700,Copper Alloy,8.8,83.0,316.0,79.0,8,26.58,5,1044.3,8,Marine
Copper Alloy C67400,Copper Alloy,8.8,234.0,483.0,120.8,8,25.36,4,1056.2,8,Marine
Copper Alloy C67500,Copper Alloy,8.8,207.0,448.0,112.0,8,27.12,5,1065.7,8,Marine
Copper Alloy C68700,Copper Alloy,8.8,186.0,414.0,103.5,9,25.8,5,1053.7,8,Marine
Copper Alloy C68800,Copper Alloy,8.8,379.0,565.0,141.2,7,129.86,9,960.5,5,Springs
Copper Alloy C69000,Copper Alloy,8.8,359.0,565.0,141.2,8,118.66,7,940.7,5,Springs
Copper Alloy C69400,Copper Alloy,8.8,276.0,552.0,138.0,8,128.49,8,939.2,5,Springs
Copper Alloy C70400,Copper Alloy,8.8,256.8,262.0,65.5,8,24.0,5,1067.9,8,Marine
Copper Alloy C70600,Copper Alloy,8.8,110.0,303.0,75.8,8,26.72,5,1025.3,8,Marine
Copper Alloy C71000,Copper Alloy,8.8,90.0,338.0,84.5,8,27.13,5,1063.0,8,Marine
Copper Alloy C71500,Copper Alloy,8.8,138.0,372.0,93.0,8,24.72,5,1026.9,8,Marine
Copper Alloy C72200,Copper Alloy,8.8,124.0,317.0,79.2,8,27.99,4,1036.5,8,Marine
Copper Alloy C72500,Copper Alloy,8.8,152.0,379.0,94.8,8,25.26,4,1036.0,8,Marine
Copper Alloy C73500,Copper Alloy,8.8,103.0,345.0,86.2,8,27.45,5,1052.1,8,Marine
Copper Alloy C74500,Copper Alloy,8.8,124.0,338.0,84.5,8,25.57,5,1041.0,9,Marine
Copper Alloy C75200,Copper Alloy,8.8,172.0,386.0,96.5,9,23.56,6,1054.8,9,Marine
Copper Alloy C75400,Copper Alloy,8.8,124.0,365.0,91.2,8,24.57,5,1075.3,8,Marine
Copper Alloy C75700,Copper Alloy,8.8,124.0,359.0,89.8,8,26.39,5,1057.2,8,Marine
Copper Alloy C76390,Copper Alloy,8.8,586.0,621.0,155.2,8,130.02,8,963.9,5,Springs
Copper Alloy C77000,Copper Alloy,8.8,186.0,414.0,103.5,8,25.86,6,1033.0,8,Marine
Copper Alloy C78200,Copper Alloy,8.8,159.0,365.0,91.2,8,27.58,5,1041.7,8,Marine
Aluminum Alloy 201.0 (Cast (T7)),Aluminum,2.7,345.0,414.0,110.0,4,118.2,6,650.7,7,Aircraft
Aluminum Alloy 204.0 (Cast (T4)),Aluminum,2.7,193.0,310.0,88.6,7,164.02,3,677.2,8,General Purpose
Aluminum Alloy 208.0 (Cast (F)),Aluminum,2.7,83.0,131.0,40.0,7,163.22,2,640.1,9,General Purpose
Aluminum Alloy 242.0 (Cast (T61)),Aluminum,2.7,138.0,221.0,90.0,6,184.52,2,650.6,9,General Purpose
Aluminum Alloy 242.0 (Cast (T77)),Aluminum,2.7,90.0,165.0,60.0,7,178.39,1,680.3,9,General Purpose
Aluminum Alloy 295.0 (Cast (T4)),Aluminum,2.7,90.0,200.0,45.0,7,167.35,2,624.5,9,General Purpose
Aluminum Alloy 295.0 (Cast (T6)),Aluminum,2.7,138.0,221.0,60.0,7,177.02,2,645.5,9,General Purpose
Aluminum Alloy 295.0 (Cast (T62)),Aluminum,2.7,193.0,248.0,80.0,7,163.16,2,661.2,8,General Purpose
Aluminum Alloy 295.0 (Cast (T7)),Aluminum,2.7,110.0,200.0,55.0,8,181.17,2,647.4,10,General Purpose
Aluminum Alloy 319.0 (Cast (F)),Aluminum,2.7,90.0,159.0,55.0,7,192.94,2,673.7,9,General Purpose
Aluminum Alloy 319.0 (Cast (T6)),Aluminum,2.7,138.0,214.0,65.0,8,159.25,3,631.8,8,General Purpose
Aluminum Alloy 328.0 (Cast (F)),Aluminum,2.7,97.0,172.0,45.0,7,173.55,1,660.3,8,General Purpose
Aluminum Alloy 328.0 (Cast (T6)),Aluminum,2.7,145.0,234.0,65.0,7,180.92,2,650.7,8,General Purpose
Aluminum Alloy 355.0 (Cast (T51)),Aluminum,2.7,124.0,172.0,50.0,8,175.47,3,623.5,9,General Purpose
Aluminum Alloy 355.0 (Cast (T6)),Aluminum,2.7,138.0,221.0,70.0,7,171.71,1,656.2,9,General Purpose
Aluminum Alloy 355.0 (Cast (T71)),Aluminum,2.7,152.0,207.0,60.0,8,184.71,2,679.5,9,General Purpose
Aluminum Alloy C355.0 (Cast (T6)),Aluminum,2.7,172.0,248.0,75.0,8,154.15,3,657.7,8,General Purpose
Aluminum Alloy 356.0 (Cast (T51)),Aluminum,2.7,110.0,159.0,45.0,7,186.14,2,659.0,8,General Purpose
Aluminum Alloy 356.0 (Cast (T6)),Aluminum,2.7,138.0,207.0,55.0,7,183.24,2,659.9,9,General Purpose
Aluminum Alloy 356.0 (Cast (T7)),Aluminum,2.7,200.0,214.0,60.0,7,178.08,2,645.4,9,General Purpose
Aluminum Alloy 356.0 (Cast (T71)),Aluminum,2.7,124.0,172.0,45.0,7,188.77,2,655.5,8,General Purpose
Aluminum Alloy A356.0 (Cast (T6)),Aluminum,2.7,165.0,234.0,70.0,7,172.06,2,684.5,9,General Purpose
Aluminum Alloy 443.0 (Cast (F)),Aluminum,2.7,48.0,117.0,25.0,7,174.62,2,673.2,8,General Purpose
Aluminum Alloy B443.0 (Cast (F)),Aluminum,2.7,41.0,117.0,25.0,7,181.64,1,627.0,9,General Purpose
Aluminum Alloy 512.0 (Cast (F)),Aluminum,2.7,69.0,117.0,35.0,7,192.95,2,656.7,10,General Purpose
Aluminum Alloy 514.0 (Cast (F)),Aluminum,2.7,62.0,152.0,35.0,7,161.15,1,653.6,9,General Purpose
Aluminum Alloy 520.0 (Cast (T4)),Aluminum,2.7,152.0,290.0,60.0,8,158.35,4,658.1,8,General Purpose
Aluminum Alloy 535.0 (Cast (F or T5)),Aluminum,2.7,124.0,241.0,60.0,7,177.23,2,659.3,9,General Purpose
Aluminum Alloy 705.0 (Cast (F or T5)),Aluminum,2.7,117.0,207.0,50.0,7,180.98,3,667.3,9,General Purpose
Aluminum Alloy 707.0 (Cast (T5)),Aluminum,2.7,152.0,228.0,70.0,7,189.62,3,681.3,9,General Purpose
Aluminum Alloy 707.0 (Cast (T7)),Aluminum,2.7,207.0,255.0,65.0,8,167.99,4,661.0,8,General Purpose
Aluminum Alloy 710.0 (Cast (F or T5)),Aluminum,2.7,138.0,221.0,60.0,6,173.21,3,594.3,9,General Purpose
Aluminum Alloy 712.0 (Cast (F or T5)),Aluminum,2.7,172.0,234.0,60.0,7,191.94,3,649.5,8,General Purpose
Aluminum Alloy 713.0 (Cast (F or T5)),Aluminum,2.7,152.0,221.0,60.0,7,184.61,2,645.4,9,General Purpose
Aluminum Alloy 771.0 (Cast (T5)),Aluminum,2.7,262.0,290.0,85.0,6,170.29,2,668.7,8,General Purpose
Aluminum Alloy 771.0 (Cast (T51)),Aluminum,2.7,186.0,221.0,70.0,7,193.4,3,644.2,8,General Purpose
Aluminum Alloy 771.0 (Cast (T52)),Aluminum,2.7,207.0,248.0,70.0,7,170.44,2,681.8,8,General Purpose
Aluminum Alloy 771.0 (Cast (T53)),Aluminum,2.7,186.0,248.0,70.9,7,175.82,3,662.7,8,General Purpose
Aluminum Alloy 771.0 (Cast (T6)),Aluminum,2.7,241.0,290.0,75.0,7,167.16,2,650.4,8,General Purpose
Aluminum Alloy 771.0 (Cast (T71)),Aluminum,2.7,310.0,331.0,105.0,10,114.9,4,662.5,8,Marine
Aluminum Alloy 852.0 (Cast (T5)),Aluminum,2.7,124.0,165.0,45.0,7,188.57,2,631.6,9,General Purpose
Aluminum Alloy 1060-O (Wrought),Aluminum,2.7,28.0,69.0,19.0,7,186.73,1,649.0,9,General Purpose
Aluminum Alloy 1060-H12 (Wrought),Aluminum,2.7,76.0,83.0,23.0,7,184.21,2,625.9,9,General Purpose
Aluminum Alloy 1060-H14 (Wrought),Aluminum,2.7,90.0,97.0,26.0,7,170.9,2,664.4,10,General Purpose
Aluminum Alloy 1060-H16 (Wrought),Aluminum,2.7,103.0,110.0,30.0,7,186.03,2,664.8,9,General Purpose
Aluminum Alloy 1060-H18 (Wrought),Aluminum,2.7,124.0,131.0,35.0,7,165.94,2,652.6,8,General Purpose
Aluminum Alloy 1100-O (Wrought),Aluminum,2.7,34.0,90.0,23.0,7,175.49,2,626.2,9,General Purpose
Aluminum Alloy 1100-H12 (Wrought),Aluminum,2.7,103.0,110.0,28.0,7,188.71,2,653.1,9,General Purpose
Aluminum Alloy 1100-H14 (Wrought),Aluminum,2.7,117.0,124.0,32.0,8,194.7,2,645.0,9,General Purpose
Aluminum Alloy 1100-H16 (Wrought),Aluminum,2.7,138.0,145.0,38.0,6,181.29,2,656.5,8,General Purpose
Aluminum Alloy 1100-H18 (Wrought),Aluminum,2.7,152.0,165.0,44.0,7,166.08,2,650.6,10,General Purpose
Aluminum Alloy 1350-O (Wrought),Aluminum,2.7,28.0,83.0,23.7,8,177.8,2,669.9,9,General Purpose
Aluminum Alloy 1350-H12 (Wrought),Aluminum,2.7,83.0,97.0,27.7,7,177.21,2,637.7,10,General Purpose
Aluminum Alloy 1350-H14 (Wrought),Aluminum,2.7,97.0,110.0,31.4,7,176.51,2,656.4,9,General Purpose
Aluminum Alloy 1350-H16 (Wrought),Aluminum,2.7,110.0,124.0,35.4,8,186.12,2,639.3,9,General Purpose
Aluminum Alloy 1350-H19 (Wrought),Aluminum,2.7,165.0,186.0,53.1,7,168.32,3,660.3,9,General Purpose
Aluminum Alloy 2011-T3 (Wrought),Aluminum,2.7,296.0,379.0,95.0,10,127.0,3,658.4,8,Marine
Aluminum Alloy 2011-T8 (Wrought),Aluminum,2.7,310.0,407.0,100.0,5,122.77,6,673.5,7,Aircraft
Aluminum Alloy 2014-O (Wrought),Aluminum,2.7,97.0,186.0,45.0,7,180.09,2,652.9,9,General Purpose
Aluminum Alloy 2014-T4 (Wrought),Aluminum,2.7,290.0,427.0,105.0,5,118.43,6,626.0,7,Aircraft
Aluminum Alloy 2014-T451 (Wrought),Aluminum,2.7,290.0,427.0,105.0,5,129.25,6,645.7,7,Aircraft
Aluminum Alloy 2014-T6 (Wrought),Aluminum,2.7,414.0,483.0,135.0,4,117.29,6,610.5,6,Aircraft Structures
Aluminum Alloy 2014-T651 (Wrought),Aluminum,2.7,414.0,483.0,135.0,5,122.54,5,629.7,7,Aircraft Structures
Aluminum Alloy Alclad 2014-O (Wrought),Aluminum,2.7,69.0,172.0,49.1,7,170.45,2,648.8,9,General Purpose
Aluminum Alloy Alclad 2014-T3 (Wrought),Aluminum,2.7,276.0,434.0,124.0,4,117.8,5,655.3,7,Aircraft
Aluminum Alloy Alclad 2014-T4 (Wrought),Aluminum,2.7,255.0,421.0,120.3,6,132.4,7,650.0,8,Aircraft
Aluminum Alloy Alclad 2014-T451 (Wrought),Aluminum,2.7,255.0,421.0,120.3,5,124.11,6,636.2,7,Aircraft
Aluminum Alloy Alclad 2014-T6 (Wrought),Aluminum,2.7,414.0,469.0,134.0,5,109.48,7,637.3,7,Aircraft
Aluminum Alloy Alclad 2014-T651 (Wrought),Aluminum,2.7,414.0,469.0,134.0,5,113.16,6,647.4,7,Aircraft
Aluminum Alloy 2017-O (Wrought),Aluminum,2.7,69.0,179.0,45.0,7,167.61,1,669.1,9,General Purpose
Aluminum Alloy 2017-T4 (Wrought),Aluminum,2.7,276.0,427.0,105.0,5,107.94,6,677.7,7,Aircraft
Aluminum Alloy 2017-T451 (Wrought),Aluminum,2.7,276.0,427.0,105.0,4,132.03,6,648.4,7,Aircraft
Aluminum Alloy 2018-T61 (Wrought),Aluminum,2.7,317.0,421.0,120.0,5,121.98,7,652.1,8,Aircraft
Aluminum Alloy 2024-O (Wrought),Aluminum,2.7,76.0,186.0,47.0,7,192.76,2,665.8,9,General Purpose
Aluminum Alloy 2024-T3 (Wrought),Aluminum,2.7,345.0,483.0,120.0,5,129.2,6,679.6,7,Aircraft Structures
Aluminum Alloy 2024-T351 (Wrought),Aluminum,2.7,324.0,469.0,120.0,5,124.34,7,642.6,7,Aircraft
Aluminum Alloy 2024-T4 (Wrought),Aluminum,2.7,324.0,469.0,120.0,5,124.57,6,654.5,7,Aircraft
Aluminum Alloy 2024-T361 (Wrought),Aluminum,2.7,393.0,496.0,130.0,5,119.0,6,628.9,7,Aircraft Structures
Aluminum Alloy Alclad 2024-O (Wrought),Aluminum,2.7,76.0,179.0,51.1,7,190.65,3,672.9,9,General Purpose
Aluminum Alloy Alclad 2024-T3 (Wrought),Aluminum,2.7,310.0,448.0,128.0,5,114.75,7,637.9,7,Aircraft
Aluminum Alloy Alclad 2024-T351 (Wrought),Aluminum,2.7,290.0,441.0,126.0,5,118.92,5,603.8,7,Aircraft
Aluminum Alloy Alclad 2024-T4 (Wrought),Aluminum,2.7,290.0,441.0,126.0,6,126.91,6,615.4,7,Aircraft
Aluminum Alloy Alclad 202024-T361 (Wrought),Aluminum,2.7,365.0,462.0,132.0,5,111.3,6,658.2,7,Aircraft
Aluminum Alloy Alclad 2024-T81 (Wrought),Aluminum,2.7,414.0,448.0,128.0,6,120.98,6,627.5,7,Aircraft
Aluminum Alloy Alclad 2024-T851 (Wrought),Aluminum,2.7,414.0,448.0,128.0,4,120.18,5,640.0,6,Aircraft
Aluminum Alloy Alclad 2024-T861 (Wrought),Aluminum,2.7,455.0,483.0,138.0,5,129.09,6,607.3,6,Aircraft Structures
Aluminum Alloy 2025-T6 (Wrought),Aluminum,2.7,255.0,400.0,110.0,5,128.44,6,644.6,8,Aircraft
Aluminum Alloy 2036-T4 (Wrought),Aluminum,2.7,193.0,338.0,96.6,9,118.53,3,660.4,8,Marine
Aluminum Alloy 2117-T4 (Wrought),Aluminum,2.7,165.0,296.0,70.0,7,175.03,3,664.8,8,General Purpose
